Date,Day_of_Week,Month,Quarter,Holiday_Indicator,Product_ID,Category,Price,Promotion_Type,Promotion_Duration,Discount_Applied,Customer_Segment,Region,Inventory_Levels,Competitor_Pricing_Indicator,Units_Sold,Revenue
2023-01-01,Sunday,1,1,0,PROD_102,Beauty,293.91,None,0,0.0,Wholesale,East,125,Higher,24,7053.84
2023-01-02,Monday,1,1,0,PROD_123,Beauty,121.67,Seasonal Sale,3,0.15,Retail,West,200,Higher,15,1551.29
2023-01-03,Tuesday,1,1,0,PROD_122,Home & Garden,19.99,None,0,0.0,Retail,East,203,Same,38,759.62
2023-01-04,Wednesday,1,1,0,PROD_107,Home & Garden,84.58,None,0,0.0,Wholesale,South,245,Same,21,1776.18
2023-01-05,Thursday,1,1,0,PROD_146,Beauty,251.8,None,0,0.0,Retail,East,284,Same,9,2266.2
2023-01-06,Friday,1,1,0,PROD_136,Electronics,261.41,Flash Sale,9,0.25,Retail,South,297,Higher,27,5293.55
2023-01-07,Saturday,1,1,0,PROD_102,Beauty,234.03,Seasonal Sale,6,0.15,Retail,South,416,Lower,20,3978.51
2023-01-08,Sunday,1,1,0,PROD_132,Home & Garden,47.24,Seasonal Sale,5,0.15,Retail,West,108,Higher,67,2690.32
2023-01-09,Monday,1,1,0,PROD_127,Electronics,241.72,None,0,0.0,Corporate,North,195,Same,36,8701.92
2023-01-10,Tuesday,1,1,0,PROD_146,Home & Garden,276.82,None,0,0.0,Retail,North,37,Same,33,9135.06
2023-01-11,Wednesday,1,1,0,PROD_107,Electronics,186.17,Seasonal Sale,5,0.15,Wholesale,West,390,Lower,30,4747.33
2023-01-12,Thursday,1,1,1,PROD_133,Apparel,283.15,None,0,0.0,Retail,East,479,Same,24,6795.6
2023-01-13,Friday,1,1,0,PROD_134,Home & Garden,250.65,None,0,0.0,Retail,West,443,Same,10,2506.5
2023-01-15,Sunday,1,1,0,PROD_131,Home & Garden,205.09,Seasonal Sale,6,0.15,Wholesale,South,420,Lower,20,3486.53
2023-01-16,Monday,1,1,0,PROD_123,Beauty,179.5,Clearance,5,0.4,Wholesale,North,418,Same,20,2154.0
2023-01-17,Tuesday,1,1,0,PROD_113,Home & Garden,114.34,Seasonal Sale,3,0.15,Retail,West,125,Higher,61,5928.53
2023-01-18,Wednesday,1,1,0,PROD_131,Home & Garden,60.4,Seasonal Sale,5,0.15,Retail,East,290,Same,41,2104.94
2023-01-19,Thursday,1,1,0,PROD_145,Apparel,187.41,Clearance,4,0.4,Retail,West,482,Same,52,5847.19
2023-01-20,Friday,1,1,0,PROD_142,Home & Garden,105.66,None,0,0.0,Retail,North,338,Lower,17,1796.22
2023-01-23,Monday,1,1,0,PROD_115,Apparel,261.94,None,0,0.0,Wholesale,West,186,Same,8,2095.52
2023-01-24,Tuesday,1,1,0,PROD_103,Apparel,298.1,Clearance,11,0.4,Retail,West,32,Lower,16,2861.76
2023-01-25,Wednesday,1,1,0,PROD_136,Apparel,229.44,None,0,0.0,Retail,North,356,Same,27,6194.88
2023-01-26,Thursday,1,1,0,PROD_120,Apparel,40.79,Seasonal Sale,12,0.15,Retail,South,51,Higher,42,1456.2
2023-01-27,Friday,1,1,0,PROD_113,Electronics,97.28,None,0,0.0,Corporate,South,412,Same,20,1945.6
2023-01-28,Saturday,1,1,0,PROD_130,Beauty,46.1,None,0,0.0,Corporate,North,59,Lower,22,1014.2
2023-01-29,Sunday,1,1,0,PROD_147,Electronics,200.4,Seasonal Sale,9,0.15,Retail,West,167,Same,25,4258.5
2023-01-30,Monday,1,1,0,PROD_117,Home & Garden,233.08,Clearance,7,0.4,Wholesale,North,237,Same,76,10628.45
2023-01-31,Tuesday,1,1,0,PROD_106,Electronics,278.82,Seasonal Sale,10,0.15,Retail,South,238,Same,40,9479.88
2023-02-01,Wednesday,2,1,0,PROD_109,Electronics,139.88,None,0,0.0,Retail,East,488,Higher,42,5874.96
2023-02-02,Thursday,2,1,0,PROD_106,Home & Garden,271.89,Flash Sale,3,0.25,Wholesale,West,101,Higher,62,12642.88
2023-02-03,Friday,2,1,0,PROD_132,Home & Garden,265.2,None,0,0.0,Corporate,South,352,Same,14,3712.8
2023-02-04,Saturday,2,1,0,PROD_122,Home & Garden,105.4,None,0,0.0,Corporate,West,227,Same,24,2529.6
2023-02-05,Sunday,2,1,1,PROD_120,Electronics,262.64,None,0,0.0,Retail,North,220,Same,49,12869.36
2023-02-06,Monday,2,1,1,PROD_118,Electronics,122.07,None,0,0.0,Retail,East,466,Lower,11,1342.77
2023-02-07,Tuesday,2,1,0,PROD_147,Home & Garden,99.61,None,0,0.0,Wholesale,North,351,Same,25,2490.25
2023-02-08,Wednesday,2,1,0,PROD_118,Beauty,199.99,Clearance,7,0.4,Retail,East,447,Same,22,2639.87
2023-02-09,Thursday,2,1,0,PROD_135,Beauty,108.59,Seasonal Sale,4,0.15,Retail,West,57,Same,45,4153.57
2023-02-10,Friday,2,1,0,PROD_128,Apparel,194.61,Seasonal Sale,13,0.15,Retail,West,230,Same,20,3308.37
2023-02-11,Saturday,2,1,0,PROD_117,Home & Garden,188.8,None,0,0.0,Wholesale,North,463,Lower,26,4908.8
2023-02-12,Sunday,2,1,0,PROD_101,Apparel,175.58,Clearance,8,0.4,Retail,East,346,Same,38,4003.22
2023-02-13,Monday,2,1,0,PROD_100,Beauty,123.42,Clearance,7,0.4,Retail,East,268,Lower,17,1258.88
2023-02-14,Tuesday,2,1,0,PROD_146,Apparel,171.32,Seasonal Sale,8,0.15,Corporate,West,246,Lower,29,4223.04
2023-02-15,Wednesday,2,1,0,PROD_104,Home & Garden,185.0,None,0,0.0,Retail,North,67,Higher,12,2220.0
2023-02-16,Thursday,2,1,0,PROD_119,Home & Garden,170.52,None,0,0.0,Retail,East,37,Lower,15,2557.8
2023-02-17,Friday,2,1,0,PROD_110,Home & Garden,141.66,None,0,0.0,Retail,West,419,Same,15,2124.9
2023-02-18,Saturday,2,1,0,PROD_141,Electronics,19.18,None,0,0.0,Retail,South,458,Lower,20,383.6
2023-02-19,Sunday,2,1,0,PROD_101,Apparel,182.31,None,0,0.0,Retail,North,314,Higher,39,7110.09
